iter	Passed	Remaining
546	24537	20320
547	24561	20259
548	24581	20193
549	24604	20130
550	24637	20076
551	24670	20022
552	24692	19959
553	24706	19889
554	24720	19820
555	24732	19750
556	24781	19709
557	24798	19643
558	24814	19576
559	24832	19510
560	24846	19443
561	24881	19391
562	24896	19324
563	24914	19260
564	24941	19202
565	24962	19140
566	24991	19085
567	25082	19076
568	25107	19018
569	25121	18951
570	25137	18885
571	25158	18824
572	25188	18770
573	25204	18705
574	25223	18643
575	25253	18589
576	25276	18530
577	25292	18466
578	25306	18400
579	25321	18336
580	25337	18272
581	25353	18208
582	25375	18150
583	25401	18094
584	25419	18032
585	25443	17975
586	25458	17911
587	25484	17856
588	25496	17791
589	25510	17727
590	25523	17663
591	25549	17608
592	25565	17546
593	25588	17489
594	25603	17427
595	25619	17366
596	25649	17314
597	25682	17264
598	25712	17213
599	25730	17153
600	25745	17092
601	25767	17035
602	25785	16976
603	25800	16915
604	25818	16856
605	25834	16796
606	25874	16752
607	25891	16693
608	25906	16632
609	25920	16571
610	25932	16510
611	25947	16450
612	25982	16403
613	26065	16386
614	26086	16330
615	26102	16271
616	26124	16216
617	26137	16156
618	26154	16098
619	26179	16045
620	26198	15988
621	26242	15948
622	26263	15892
623	26310	15853
624	26339	15803
625	26407	15776
626	26443	15731
627	26465	15677
628	26489	15624
629	26513	15571
630	26563	15534
631	26586	15480
632	26598	15421
633	26614	15364
634	26632	15308
635	26720	15292
636	26744	15240
637	26761	15184
638	26787	15133
639	26803	15077
640	26818	15020
641	26831	14962
642	26845	14905
643	26880	14859
644	26906	14808
645	26927	14755
646	26942	14699
647	26965	14647
648	27006	14606
649	27039	14559
650	27054	14503
651	27075	14451
652	27093	14397
653	27109	14342
654	27134	14292
655	27153	14239
656	27181	14190
657	27204	14139
658	27219	14084
659	27270	14048
660	27307	14005
661	27355	13967
662	27457	13956
663	27489	13910
664	27546	13876
665	27566	13824
666	27588	13773
667	27610	13722
668	27653	13682
669	27729	13658
670	27769	13615
671	27805	13571
672	27834	13524
673	27882	13486
674	27914	13440
675	27958	13400
676	27979	13349
677	28030	13312
678	28058	13264
679	28080	13214
680	28102	13164
681	28134	13118
682	28172	13075
683	28185	13021
684	28199	12967
685	28238	12925
686	28253	12872
687	28267	12818
688	28287	12768
689	28324	12725
690	28342	12674
691	28361	12623
692	28375	12570
693	28391	12518
694	28421	12472
695	28444	12423
696	28486	12383
697	28502	12331
698	28525	12283
699	28542	12232
700	28556	12180
701	28572	12129
702	28590	12078
703	28658	12049
704	28726	12020
705	28783	11986
706	28838	11951
707	28853	11899
708	28870	11849
709	28888	11799
710	28903	11748
711	28926	11700
712	28972	11662
713	29018	11623
714	29167	11626
715	29211	11586
716	29290	11560
717	29339	11523
718	29475	11519
719	29579	11503
720	29623	11463
721	29700	11435
722	29768	11405
723	29798	11359
724	29824	11312
725	29844	11263
726	29868	11216
727	29922	11179
728	29950	11133
729	30009	11099
730	30028	11050
731	30071	11009
732	30114	10969
733	30164	10931
734	30181	10881
735	30202	10833
736	30238	10790
737	30253	10740
738	30271	10691
739	30325	10654
740	30357	10610
741	30377	10562
742	30394	10513
743	30416	10465
744	30458	10425
745	30477	10377
746	30494	10328
747	30524	10283
748	30544	10235
749	30559	10186
750	30575	10137
751	30592	10088
752	30632	10048
753	30650	10000
754	30688	9958
755	30830	9950
756	30845	9901
757	30872	9856
758	30902	9812
759	30934	9768
760	30974	9727
761	30993	9680
762	31013	9633
763	31053	9592
764	31075	9546
765	31110	9503
766	31144	9460
767	31163	9413
768	31178	9365
769	31192	9317
770	31210	9269
771	31226	9222
772	31272	9183
773	31302	9139
774	31317	9092
775	31347	9048
776	31362	9001
777	31375	8952
778	31390	8905
779	31419	8862
780	31465	8823
781	31496	8780
782	31522	8736
783	31550	8692
784	31586	8651
785	31605	8605
786	31629	8560
787	31650	8515
788	31668	8468
789	31702	8427
790	31756	8390
791	31781	8346
792	31798	8300
793	31813	8253
794	31842	8211
795	31859	8165
796	31894	8123
797	31911	8077
798	31927	8031
799	31948	7987
800	31965	7941
801	31980	7895
802	31994	7849
803	32009	7803
804	32026	7758
805	32059	7716
806	32075	7671
807	32099	7627
808	32114	7581
809	32147	7540
810	32163	7495
811	32265	7470
812	32281	7425
813	32302	7381
814	32318	7336
815	32332	7290
816	32380	7252
817	32411	7211
818	32441	7169
819	32494	7133
820	32509	7087
821	32527	7043
822	32560	7002
823	32586	6960
824	32617	6918
825	32629	6873
826	32651	6830
827	32691	6791
828	32723	6749
829	32743	6706
830	32780	6666
831	32815	6626
832	32841	6584
833	32882	6544
834	32901	6501
835	32924	6458
836	32941	6415
837	32989	6377
838	33014	6335
839	33032	6291
840	33054	6249
841	33083	6208
842	33100	6164
843	33121	6122
844	33184	6087
845	33220	6047
846	33237	6003
847	33262	5962
848	33282	5919
849	33296	5875
850	33343	5838
851	33373	5797
852	33386	5753
853	33401	5710
854	33426	5668
855	33456	5628
856	33497	5589
857	33524	5548
858	33545	5506
859	33589	5468
860	33611	5426
861	33628	5383
862	33668	5344
863	33694	5303
864	33705	5260
865	33718	5217
866	33727	5173
867	33737	5130
868	33749	5087
869	33812	5052
870	33828	5010
871	33838	4967
872	33846	4923
873	33857	4881
874	33865	4837
875	33878	4795
876	33906	4755
877	33934	4715
878	33954	4674
879	34029	4640
880	34064	4601
881	34128	4565
882	34149	4524
883	34172	4484
884	34192	4443
885	34207	4401
886	34228	4360
887	34242	4318
888	34259	4277
889	34275	4236
890	34292	4195
891	34307	4153
892	34326	4113
893	34334	4070
894	34349	4029
895	34358	3988
896	34367	3946
897	34376	3904
898	34385	3863
899	34393	3821
900	34404	3780
901	34424	3740
902	34439	3699
903	34465	3660
904	34482	3619
905	34493	3578
906	34505	3538
907	34513	3496
908	34528	3456
909	34540	3416
910	34548	3375
911	34561	3334
912	34579	3295
913	34660	3261
914	34676	3221
915	34693	3181
916	34711	3141
917	34728	3102
918	34744	3062
919	34810	3026
920	34843	2988
921	34892	2951
922	34935	2914
923	35038	2881
924	35072	2843
925	35222	2814
926	35286	2778
927	35305	2739
928	35337	2700
929	35355	2661
930	35371	2621
931	35386	2581
932	35402	2542
933	35420	2502
934	35435	2463
935	35451	2424
936	35949	2417
937	35986	2378
938	36039	2341
939	36067	2302
940	36196	2269
941	36328	2236
942	36392	2199
943	36560	2168
944	36585	2129
945	36613	2090
946	36636	2050
947	36733	2014
948	36797	1977
949	37013	1948
950	37050	1909
951	37147	1873
952	37175	1833
953	37210	1794
954	37262	1755
955	37277	1715
956	37308	1676
957	37320	1636
958	37340	1596
959	37362	1556
960	37564	1524
961	37650	1487
962	37700	1448
963	37731	1409
964	37834	1372
965	37871	1332
966	37961	1295
967	37984	1255
968	38086	1218
969	38159	1180
970	38225	1141
971	38246	1101
972	38272	1062
973	38331	1023
974	38353	983
975	38388	943
976	38399	903
977	38421	864
978	38435	824
979	38443	784
980	38452	744
981	38467	705
982	38476	665
983	38486	625
984	38495	586
985	38504	546
986	38520	507
987	38534	468
988	38547	428
989	38557	389
990	38569	350
991	38579	311
992	38587	272
993	38598	232
994	38610	194
995	38626	155
996	38635	116
997	38646	77
998	38656	38
999	38667	0
